Rank,Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Supers > Forecaster?,p-val Supers > Forecaster?,Forecaster > Public?,p-val Forecaster > Public?,Pct times № 1,Pct times top 5%,Peer,BSS
45,Anonymous 1,Anonymous 1,Ensemble,60.6,3529,"[60.2, 61.1]",Yes,<0.001,Likely,0.01,0.0,0.0,0.032,0.106
45,ForecastBench,Anthropic,Claude-Opus-4-20250514 (scratchpad with crowd forecast),60.6,1141,"[59.9, 61.2]",Yes,<0.001,Likely,0.02,0.0,0.0,0.058,0.113
45,LightningRodLabs,LightningRodLabs,foresight-v3-05-2026,60.6,885,"[59.8, 61.4]",Yes,<0.01,Likely,0.02,0.0,0.0,0.032,0.131
48,ForecastBench,OpenAI,O4-Mini-2025-04-16 (scratchpad with crowd forecast),60.5,5106,"[60.1, 60.9]",Yes,<0.001,Likely,0.02,0.0,0.0,0.05,0.116
48,Artificial Judgement,Artificial Judgement,aj-v1,60.5,1608,"[60.0, 61.0]",Yes,<0.001,Likely,0.02,0.0,0.0,0.03,0.121
50,ForecastBench,OpenAI,O3-2025-04-16 (zero shot with crowd forecast),60.4,6929,"[60.1, 60.8]",Yes,<0.001,Likely,0.02,0.0,0.0,0.033,0.1
50,ForecastBench,Google,Gemini-3.1-Pro-Preview (zero shot with crowd forecast),60.4,3986,"[60.1, 60.7]",Yes,<0.001,Likely,0.02,0.0,0.0,0.031,0.123
50,Mantic,Mantic,mantic-2026-01-16,60.4,2182,"[59.8, 61.0]",Yes,<0.001,Likely,0.03,0.0,0.0,0.034,0.115
50,Anonymous 1,Anonymous 1,orion,60.4,1679,"[59.7, 61.1]",Yes,<0.001,Likely,0.03,0.0,0.0,0.032,0.102
50,Anonymous 1,Anonymous 1,orcas,60.4,1641,"[59.4, 61.4]",Yes,<0.001,Likely,0.05,0.0,0.0,0.031,0.096
50,ForecastBench,OpenAI,O3-2025-04-16 (scratchpad with crowd forecast),60.4,1472,"[59.8, 61.0]",Yes,<0.001,Likely,0.03,0.0,0.0,0.038,0.106
50,ForecastBench,Anthropic,Claude-Opus-4-7 (zero shot with crowd forecast),60.4,632,"[59.6, 61.0]",Yes,<0.001,Likely,0.03,0.0,0.0,0.025,0.114
50,ForecastBench,xAI,Grok-4.20-0309-Reasoning (zero shot with crowd forecast),60.4,239,"[59.7, 61.0]",Yes,<0.001,Likely,0.03,0.0,0.0,0.021,0.107
58,ForecastBench,OpenAI,GPT-5-Mini-2025-08-07 (zero shot with crowd forecast),60.3,12753,"[60.0, 60.6]",Yes,<0.001,Likely,0.03,0.0,0.0,0.031,0.109
58,ForecastBench,Anthropic,Claude-Opus-4-1-20250805 (zero shot with crowd forecast),60.3,10419,"[60.0, 60.6]",Yes,<0.001,Likely,0.03,0.0,0.0,0.031,0.106
58,ForecastBench,xAI,Grok-4-Fast-Reasoning (zero shot with crowd forecast),60.3,9087,"[60.0, 60.7]",Yes,<0.001,Likely,0.03,0.0,0.0,0.031,0.106
58,ForecastBench,OpenAI,GPT-4.1-2025-04-14 (scratchpad with crowd forecast),60.3,6578,"[59.8, 60.8]",Yes,<0.001,Likely,0.03,0.0,0.0,0.046,0.113
58,ForecastBench,Google,Gemini-2.5-Flash-Preview-04-17 (scratchpad with crowd forecast),60.3,1472,"[59.4, 61.3]",Yes,<0.01,Likely,0.04,0.0,0.0,0.038,0.106
58,ForecastBench,Z.ai,GLM-5 (zero shot with crowd forecast),60.3,1166,"[59.7, 60.9]",Yes,<0.001,Likely,0.03,0.0,0.0,0.03,0.131
58,Voicetree,Voicetree,voicetree-decisionflow-v1_scurve_inverse,60.3,484,"[58.4, 62.3]",Yes,<0.01,No,0.10,0.0,0.0,0.029,0.108
65,ForecastBench,xAI,Grok-4-1-Fast-Reasoning (zero shot with crowd forecast),60.2,8601,"[59.9, 60.6]",Yes,<0.001,Likely,0.03,0.0,0.0,0.031,0.109
65,ForecastBench,xAI,Grok-4-0709 (zero shot with crowd forecast),60.2,6187,"[59.8, 60.6]",Yes,<0.001,Likely,0.04,0.0,0.0,0.029,0.096
65,sirbayes,sirbayes,gemini-3-1-pro_thk-high_srch-brave-long_crwd-1_data-tool-1_market-tool-0_tries-1,60.2,727,"[59.2, 61.2]",Yes,<0.001,Likely,0.06,0.0,0.0,0.03,0.109
68,ForecastBench,Anthropic,Claude-Sonnet-4-5-20250929 (zero shot with crowd forecast),60.1,10899,"[59.8, 60.4]",Yes,<0.001,Likely,0.05,0.0,0.0,0.028,0.106
68,ForecastBench,Anthropic,Claude-3-7-Sonnet-20250219 (scratchpad with crowd forecast),60.1,10094,"[59.8, 60.4]",Yes,<0.001,Likely,0.04,0.0,0.0,0.042,0.115
68,ForecastBench,Anthropic,Claude-Sonnet-4-6 (zero shot with crowd forecast),60.1,3986,"[59.7, 60.4]",Yes,<0.001,Likely,0.05,0.0,0.0,0.028,0.12
68,ForecastBench,Anthropic,Claude-Opus-4-5-20251101 (zero shot with crowd forecast),60.1,3329,"[59.7, 60.5]",Yes,<0.001,Likely,0.04,0.0,0.0,0.029,0.097
68,ForecastBench,Google,Gemini-2.5-Flash-Preview-04-17 (zero shot with crowd forecast),60.1,1472,"[59.2, 61.1]",Yes,<0.001,Likely,0.06,0.0,0.0,0.036,0.104
68,Anonymous 1,Anonymous 1,deneb,60.1,730,"[58.9, 61.4]",Yes,<0.001,Likely,0.09,0.0,0.0,0.028,0.09
68,ForecastBench,OpenAI,GPT-5.5-2026-04-23 (zero shot with crowd forecast),60.1,632,"[59.5, 60.7]",Yes,<0.001,Likely,0.06,0.0,0.0,0.023,0.111
68,Google DeepMind,Google DeepMind,bronze-hat,60.1,492,"[57.8, 62.5]",Likely,0.02,No,0.18,0.0,0.1,0.03,0.136
68,Voicetree,Voicetree,voicetree-decisionflow-v1,60.1,484,"[58.0, 62.3]",Yes,<0.01,No,0.15,0.0,0.0,0.027,0.106
68,Voicetree,Voicetree,voicetree-decisionflow-v1_scurve,60.1,484,"[58.2, 62.2]",Yes,<0.01,No,0.14,0.0,0.0,0.028,0.107
68,sirbayes,sirbayes,BLF,60.1,484,"[58.1, 62.2]",Yes,<0.01,No,0.14,0.0,0.0,0.028,0.107
79,ForecastBench,Google,Gemini-2.5-Pro (zero shot with crowd forecast),60.0,11629,"[59.7, 60.3]",Yes,<0.001,Likely,0.06,0.0,0.0,0.03,0.105
79,ForecastBench,xAI,Grok-4.3 (zero shot with crowd forecast),60.0,1124,"[59.5, 60.5]",Yes,<0.001,Likely,0.07,0.0,0.0,0.025,0.121
79,ForecastBench,Google,Gemini-3.5-Flash (zero shot with crowd forecast),60.0,632,"[59.3, 60.7]",Yes,<0.001,Likely,0.08,0.0,0.0,0.022,0.111
82,ForecastBench,Anthropic,Claude-Opus-4-6 (zero shot with crowd forecast),59.9,3588,"[59.5, 60.2]",Yes,<0.001,Likely,0.09,0.0,0.0,0.027,0.12
82,ForecastBench,Anthropic,Claude-Opus-4-1-20250805 (scratchpad with crowd forecast),59.9,1128,"[59.3, 60.5]",Yes,<0.001,Likely,0.10,0.0,0.0,0.038,0.104
82,Mantic,Mantic,mantic-2026-03-01,59.9,721,"[58.8, 60.9]",Yes,<0.001,No,0.12,0.0,0.0,0.028,0.131
85,ForecastBench,Qwen,Qwen3-235B-A22B-Fp8-Tput (zero shot with crowd forecast),59.8,7315,"[59.5, 60.1]",Yes,<0.001,Likely,0.09,0.0,0.0,0.028,0.094
85,ForecastBench,Google,Gemini-3-Flash-Preview (zero shot with crowd forecast),59.8,5536,"[59.4, 60.1]",Yes,<0.001,No,0.11,0.0,0.0,0.027,0.116
85,ForecastBench,OpenAI,GPT-4.5-Preview-2025-02-27 (zero shot with crowd forecast),59.8,2884,"[59.4, 60.1]",Yes,<0.001,No,0.10,0.0,0.0,0.041,0.109
85,Anonymous 1,Anonymous 1,canopus,59.8,1900,"[59.1, 60.6]",Yes,<0.001,No,0.12,0.0,0.0,0.024,0.094
85,Anthral-Labs,Ensemble,blf-ensemble-opus45-gpt55,59.8,492,"[58.2, 61.2]",Yes,<0.001,No,0.18,0.0,0.0,0.027,0.133
90,ForecastBench,OpenAI,GPT-5.2-2025-12-11 (zero shot with crowd forecast),59.7,5536,"[59.3, 60.1]",Yes,<0.001,No,0.12,0.0,0.0,0.027,0.116
90,LightningRodLabs,LightningRodLabs,foresight-v3,59.7,3104,"[59.1, 60.2]",Yes,<0.001,No,0.14,0.0,0.0,0.026,0.121
90,ForecastBench,OpenAI,GPT-5.4-2026-03-05 (zero shot with crowd forecast),59.7,2538,"[59.2, 60.2]",Yes,<0.001,No,0.14,0.0,0.0,0.024,0.117
90,OracleMarkets,OracleMarkets,ensemble,59.7,1415,"[59.2, 60.3]",Yes,<0.001,No,0.13,0.0,0.0,0.026,0.132
90,Anonymous 5,Anonymous 5,cosmic,59.7,726,"[58.8, 60.6]",Yes,<0.001,No,0.14,0.0,0.0,0.027,0.125
90,LightningRodLabs,LightningRodLabs,foresight-32b-V2,59.7,721,"[58.7, 60.8]",Yes,<0.001,No,0.14,0.0,0.0,0.027,0.086
96,calibralabs,calibralabs,calibra,59.5,1939,"[58.9, 60.1]",Yes,<0.001,No,0.19,0.0,0.0,0.025,0.109
96,ForecastBench,xAI,Grok-4.20-Beta-0309-Reasoning (zero shot with crowd forecast),59.5,491,"[59.0, 60.1]",Yes,<0.001,No,0.18,0.0,0.0,0.025,0.087
98,ForecastBench,Google,Gemini-3.1-Flash-Lite-Preview (zero shot with crowd forecast),59.4,1906,"[58.9, 60.0]",Yes,<0.001,No,0.21,0.0,0.0,0.023,0.118
98,Anonymous 1,Anonymous 1,arcturus,59.4,1900,"[58.7, 60.2]",Yes,<0.001,No,0.24,0.0,0.0,0.021,0.091
98,AnthralLabs,Ensemble,Anton,59.4,393,"[58.0, 60.8]",Yes,<0.001,No,0.26,0.0,0.0,0.02,0.11
98,AnthralLabs,Ensemble,blf-ensemble-opus45-gpt55,59.4,393,"[58.0, 60.8]",Yes,<0.001,No,0.26,0.0,0.0,0.02,0.11
102,ForecastBench,Anthropic,Claude-3-7-Sonnet-20250219 (zero shot with crowd forecast),59.3,16281,"[59.1, 59.5]",Yes,<0.001,No,0.26,0.0,0.0,0.03,0.1
102,Anonymous 1,Anonymous 1,bigdipper,59.3,970,"[58.1, 60.5]",Yes,<0.001,No,0.31,0.0,0.0,0.02,0.074
102,Voicetree,Voicetree,voicetree-decisionflow-v0,59.3,439,"[57.9, 60.7]",Yes,<0.001,No,0.30,0.0,0.0,0.023,0.159
102,Voicetree,Voicetree,voicetree-decisionflow-v0_green,59.3,439,"[57.9, 60.8]",Yes,<0.001,No,0.29,0.0,0.0,0.023,0.159
106,ForecastBench,Anthropic,Claude-Sonnet-4-20250514 (zero shot with crowd forecast),59.1,5438,"[58.7, 59.4]",Yes,<0.001,No,0.33,0.0,0.0,0.023,0.096
106,Voicetree,Voicetree,voicetree-decisionflow-v0_red,59.1,439,"[57.8, 60.5]",Yes,<0.001,No,0.35,0.0,0.0,0.021,0.157
108,ForecastBench,Anthropic,Claude-Haiku-4-5-20251001 (zero shot with crowd forecast),59.0,11625,"[58.7, 59.3]",Yes,<0.001,No,0.38,0.0,0.0,0.02,0.098
108,ForecastBench,Google,Gemini-3.1-Flash-Lite (zero shot with crowd forecast),59.0,632,"[58.0, 59.9]",Yes,<0.001,No,0.41,0.0,0.0,0.014,0.102
110,ForecastBench,Moonshot,Kimi-K2-Instruct-0905 (zero shot with crowd forecast),58.9,7639,"[58.6, 59.2]",Yes,<0.001,No,0.42,0.0,0.0,0.02,0.091
111,ForecastBench,OpenAI,GPT-4.1-2025-04-14 (zero shot with crowd forecast),58.8,18207,"[58.5, 59.1]",Yes,<0.001,No,0.47,0.0,0.0,0.025,0.097
111,ForecastBench,DeepSeek,DeepSeek-R1 (scratchpad with crowd forecast),58.8,7244,"[58.5, 59.1]",Yes,<0.001,No,0.48,0.0,0.0,0.032,0.102
111,ForecastBench,OpenAI,O3-Mini-2025-01-31 (zero shot with crowd forecast),58.8,5803,"[58.4, 59.1]",Yes,<0.001,No,0.49,0.0,0.0,0.031,0.102
114,ForecastBench,DeepSeek,DeepSeek-V3 (scratchpad with crowd forecast),58.7,7244,"[58.4, 59.0]",Yes,<0.001,No,0.56,0.0,0.0,0.031,0.1
114,ForecastBench,ForecastBench,Public median forecast,58.7,521,"[57.2, 60.3]",Yes,<0.001,—,—,0.0,0.0,0.056,0.124
116,ForecastBench,Anthropic,Claude-3-5-Sonnet-20241022 (scratchpad with crowd forecast),58.6,10094,"[58.3, 58.8]",Yes,<0.001,No,0.61,0.0,0.0,0.029,0.102
116,ForecastBench,OpenAI,GPT-5.1-2025-11-13 (zero shot with crowd forecast),58.6,7643,"[58.3, 59.0]",Yes,<0.001,No,0.56,0.0,0.0,0.018,0.096
116,ForecastBench,OpenAI,O3-Mini-2025-01-31 (scratchpad with crowd forecast),58.6,5803,"[58.3, 58.9]",Yes,<0.001,No,0.58,0.0,0.0,0.03,0.1
116,ForecastBench,Moonshot,Kimi-K2-Instruct (scratchpad with crowd forecast),58.6,1115,"[57.7, 59.5]",Yes,<0.001,No,0.56,0.0,0.0,0.045,0.084
116,Anonymous 1,Anonymous 1,bootis,58.6,930,"[57.6, 59.7]",Yes,<0.001,No,0.56,0.0,0.0,0.014,0.1
121,ForecastBench,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot with crowd forecast),58.5,17587,"[58.2, 58.7]",Yes,<0.001,No,0.66,0.0,0.0,0.035,0.1
121,ForecastBench,Anthropic,Claude-3-5-Sonnet-20241022 (zero shot with crowd forecast),58.5,10094,"[58.2, 58.7]",Yes,<0.001,No,0.65,0.0,0.0,0.029,0.101
121,ForecastBench,Google,Gemini-2.5-Flash (zero shot with crowd forecast),58.5,6585,"[58.1, 59.0]",Yes,<0.001,No,0.61,0.0,0.0,0.018,0.085
121,Anonymous 1,Anonymous 1,vega,58.5,2808,"[57.8, 59.1]",Yes,<0.001,No,0.63,0.0,0.0,0.014,0.092
121,ForecastBench,xAI,Grok-4.20-0309-Non-Reasoning (zero shot with crowd forecast),58.5,1608,"[57.9, 59.1]",Yes,<0.001,No,0.62,0.0,0.0,0.013,0.105
126,ForecastBench,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with crowd forecast),58.4,16472,"[58.1, 58.6]",Yes,<0.001,No,0.70,0.0,0.0,0.034,0.101
126,ForecastBench,Qwen,Qwen3-235B-A22B-Fp8-Tput (scratchpad with crowd forecast),58.4,7818,"[58.1, 58.7]",Yes,<0.001,No,0.69,0.0,0.0,0.035,0.099
128,ForecastBench,xAI,Grok-beta (zero shot with crowd forecast),58.3,2888,"[57.9, 58.7]",Yes,<0.001,No,0.71,0.0,0.0,0.031,0.102
128,ForecastBench,OpenAI,GPT-4o-2024-11-20 (scratchpad with crowd forecast with web search),58.3,1441,"[57.4, 59.2]",Yes,<0.001,No,0.69,0.0,0.0,0.031,0.096
128,ForecastBench,OpenAI,GPT-4o-2024-11-20 (scratchpad with web search),58.3,1441,"[57.4, 59.2]",Yes,<0.001,No,0.69,0.0,0.0,0.031,0.096
131,Anonymous 1,Anonymous 1,sirius,58.2,930,"[57.0, 59.4]",Yes,<0.001,No,0.74,0.0,0.0,0.01,0.096
132,Anonymous 1,Anonymous 1,rigel,58.1,930,"[57.0, 59.3]",Yes,<0.001,No,0.74,0.0,0.0,0.01,0.096
132,Anonymous 8,Anonymous 8,ensemble,58.1,492,"[56.5, 59.8]",Yes,<0.001,No,0.71,0.0,0.0,0.013,0.12
134,ForecastBench,Anthropic,Claude-3-Opus-20240229 (zero shot with crowd forecast),58.0,6959,"[57.7, 58.4]",Yes,<0.001,No,0.82,0.0,0.0,0.037,0.103
134,ForecastBench,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news with crowd forecast),58.0,1384,"[57.3, 58.7]",Yes,<0.001,No,0.82,0.0,0.0,0.051,0.111
134,ForecastBench,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with news),58.0,1384,"[57.3, 58.7]",Yes,<0.001,No,0.82,0.0,0.0,0.051,0.111
134,Anonymous 1,Anonymous 1,polaris,58.0,930,"[57.0, 59.2]",Yes,<0.001,No,0.79,0.0,0.0,0.009,0.095
134,limeforecast,limeforecast,limeforecast ensemble_crowdadj,58.0,727,"[56.6, 59.3]",Yes,<0.001,No,0.76,0.0,0.0,0.012,0.092
139,ForecastBench,Qwen,Qwen3-235B-A22B-Thinking-2507 (zero shot with crowd forecast),57.9,5457,"[57.4, 58.4]",Yes,<0.001,No,0.86,0.0,0.0,0.01,0.077
139,LightningRodLabs,LightningRodLabs,ensemble,57.9,1452,"[57.1, 58.7]",Yes,<0.001,No,0.84,0.0,0.0,0.015,0.106
139,ForecastBench,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),57.9,1384,"[57.1, 58.7]",Yes,<0.001,No,0.85,0.0,0.0,0.05,0.111
142,ForecastBench,Anthropic,Claude-Sonnet-4-20250514 (scratchpad with crowd forecast),57.8,2269,"[57.2, 58.3]",Yes,<0.001,No,0.88,0.0,0.0,0.028,0.088
142,Anonymous 1,Anonymous 1,centauri,57.8,930,"[56.7, 59.0]",Yes,<0.001,No,0.83,0.0,0.0,0.007,0.093
144,Anonymous 4,Anonymous 4,excited-seal,57.7,5438,"[57.2, 58.2]",Yes,<0.001,No,0.90,0.0,0.0,0.01,0.102
144,ForecastBench,Moonshot,Kimi-K2-Instruct (zero shot with crowd forecast),57.7,5284,"[57.3, 58.2]",Yes,<0.001,No,0.90,0.0,0.0,0.022,0.081
144,ForecastBench,Meta,Meta-Llama-3.1-405B-Instruct-Turbo (zero shot with crowd forecast),57.7,2850,"[57.3, 58.1]",Yes,<0.001,No,0.92,0.0,0.0,0.021,0.101
147,ForecastBench,DeepSeek,DeepSeek-V3.1 (zero shot with crowd forecast),57.6,10993,"[57.3, 57.9]",Yes,<0.001,No,0.93,0.0,0.0,0.009,0.087
147,ForecastBench,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot with crowd forecast),57.6,6959,"[57.3, 57.9]",Yes,<0.001,No,0.93,0.0,0.0,0.033,0.099
147,ForecastBench,OpenAI,GPT-4o-2024-11-20 (zero shot with crowd forecast with web search),57.6,1441,"[56.7, 58.5]",Yes,<0.001,No,0.91,0.0,0.0,0.024,0.09
147,ForecastBench,OpenAI,GPT-4o-2024-11-20 (zero shot with web search),57.6,1441,"[56.7, 58.5]",Yes,<0.001,No,0.91,0.0,0.0,0.024,0.09
151,ForecastBench,OpenAI,GPT-5-Nano-2025-08-07 (zero shot with crowd forecast),57.3,12753,"[56.9, 57.6]",Yes,<0.001,No,0.97,0.0,0.0,0.006,0.084
151,ForecastBench,Meta,Meta-Llama-3.1-405B-Instruct-Turbo (scratchpad with crowd forecast),57.3,2850,"[56.9, 57.8]",Yes,<0.001,No,0.96,0.0,0.0,0.018,0.098
151,ForecastBench,Z.ai,GLM-4.5-Air-FP8 (scratchpad with crowd forecast),57.3,1128,"[56.5, 58.2]",Yes,<0.001,No,0.94,0.0,0.0,0.017,0.083
154,ForecastBench,DeepSeek,DeepSeek-V3 (zero shot with crowd forecast),57.2,7244,"[56.9, 57.5]",Yes,<0.001,No,0.98,0.0,0.0,0.019,0.088
154,ForecastBench,Google,Gemini-1.5-Pro (scratchpad with crowd forecast),57.2,1384,"[56.5, 57.9]",Yes,<0.001,No,0.97,0.0,0.0,0.044,0.105
156,ForecastBench,OpenAI,GPT-5.4-Mini-2026-03-17 (zero shot with crowd forecast),57.1,2538,"[56.5, 57.7]",Yes,<0.001,No,0.98,0.0,0.0,0.002,0.096
156,ForecastBench,DeepSeek,DeepSeek-V4-Pro (zero shot with crowd forecast),57.1,239,"[54.8, 59.4]",Yes,<0.001,No,0.88,0.0,0.0,-0.007,0.079
158,ForecastBench,Meta,Llama-4-Maverick-17B-128E-Instruct-FP8 (scratchpad with crowd forecast),57.0,5759,"[56.7, 57.3]",Yes,<0.001,No,0.99,0.0,0.0,0.015,0.088
159,ForecastBench,Anthropic,Claude-3-Opus-20240229 (scratchpad with crowd forecast),56.9,6959,"[56.5, 57.3]",Yes,<0.001,No,0.99,0.0,0.0,0.027,0.093
160,ForecastBench,Meta,Llama-3.3-70B-Instruct-Turbo (scratchpad with crowd forecast),56.6,10094,"[56.3, 56.8]",Yes,<0.001,No,1.00,0.0,0.0,0.013,0.085
160,ForecastBench,Qwen,QwQ-32B-Preview (scratchpad with crowd forecast),56.6,4360,"[56.0, 57.3]",Yes,<0.001,No,0.99,0.0,0.0,0.013,0.083
160,ForecastBench,Google,Gemini-2.0-Flash-Lite-001 (scratchpad with crowd forecast),56.6,2888,"[55.9, 57.2]",Yes,<0.001,No,1.00,0.0,0.0,0.016,0.088
